"rho"	"adj_p_value"	"CompID1"	"CompID2"	"Calc..MW"	"m.z"	"RT..min."	"Reference.Ion"	"ABSrho"
-0.138	0.348	"1891"	"spread2"	"280.1054"	"281.1132"	"321.6456447"	"Asp-Phe"	0.138
0.138	0.348	"215"	"potato2"	"102.11518"	"103.12298"	"48.16277023"	"Cadaverine"	0.138
-0.138	0.348	"480"	"fruit2"	"180.0642"	"181.072"	"316.6273398"	"Theophylline"	0.138
0.137	0.349	"126"	"cereal2b"	"150.05335"	"149.04555"	"56.89411073"	"D-(-)Arabinose"	0.137
0.137	0.349	"1492"	"snack7"	"156.01763"	"155.00983"	"65.88577484"	"Orotic acid"	0.137
0.137	0.35	"1528"	"fruit1"	"154.02713"	"153.01933"	"419.7274039"	"2,6-Dihydroxybenzoic acid"	0.137
-0.137	0.349	"105"	"spread2"	"86.03626"	"87.04406"	"140.113029"	"gamma-Butyrolactone"	0.137
0.137	0.349	"1477"	"drink5"	"246.0999"	"247.1077"	"506.7892784"	"N-acetyl-DL-tryptophan"	0.137
0.137	0.353	"184"	"cereal2b"	"117.07846"	"118.08626"	"61.77223434"	"5-aminovaleric acid"	0.137
0.137	0.355	"189"	"snack8"	"146.105"	"147.1128"	"44.12397023"	"L-Lysine"	0.137
0.137	0.353	"298"	"cereal2b"	"117.07846"	"118.08626"	"61.77223434"	"Betaine "	0.137
-0.137	0.349	"504"	"snack4"	"152.0329"	"153.0407"	"97.41585781"	"Xanthine"	0.137
0.136	0.36	"126"	"Dark_cereals_week"	"150.05335"	"149.04555"	"56.89411073"	"D-(-)Arabinose"	0.136
0.136	0.36	"1522"	"drink3b"	"162.05334"	"161.04554"	"140.1505232"	"3-Hydroxy-3-methylglutarate"	0.136
-0.136	0.36	"1539"	"fish3"	"342.11673"	"341.10893"	"59.11634791"	"Trehalose"	0.136
0.136	0.36	"1840"	"cereal2b"	"162.99445"	"161.98665"	"201.7785663"	"Acesulfame K"	0.136
0.136	0.359	"1840"	"snack2"	"162.99445"	"161.98665"	"201.7785663"	"Acesulfame K"	0.136
0.136	0.36	"332"	"egg3"	"103.09919"	"104.10699"	"52.22596718"	"Choline"	0.136
-0.136	0.36	"475"	"fruit2"	"194.07985"	"195.08765"	"379.1290605"	"Caffëine"	0.136
-0.135	0.362	"126"	"spread2"	"150.05335"	"149.04555"	"56.89411073"	"D-(-)Arabinose"	0.135
0.135	0.363	"1785"	"drink3b"	"162.05335"	"161.04555"	"141.045417"	"2-Hydroxyhexanedioic acid"	0.135
0.135	0.362	"1840"	"snack7"	"162.99445"	"161.98665"	"201.7785663"	"Acesulfame K"	0.135
0.135	0.362	"37"	"cereal2b"	"138.03222"	"137.02442"	"353.9290306"	"4-Hydroxybenzoic acid"	0.135
-0.135	0.363	"416"	"MD_week"	"90.03221"	"89.02441"	"83.51363766"	"D-(-) Lactic acid"	0.135
-0.135	0.362	"169"	"spread2"	"89.04716"	"90.05496"	"52.63129909"	"L-Alanine"	0.135
0.135	0.363	"185"	"snack1"	"219.11015"	"220.11795"	"275.8595489"	"D-pantothenic acid "	0.135
0.135	0.362	"1851"	"snack2"	"145.0846"	"146.0924"	"78.74230793"	"4-Guanidinobutanoic acid"	0.135
0.135	0.363	"1914"	"potato2"	"227.09008"	"228.09788"	"83.02050197"	"Deoxycytidine"	0.135
-0.135	0.363	"220"	"spread2"	"88.09952"	"89.10732"	"47.40645612"	"Putrescine"	0.135
0.135	0.363	"72"	"drink3b"	"104.04682"	"105.05462"	"126.0601368"	"3-Hydroxybutyric acid"	0.135
-0.134	0.363	"1550"	"SD_week"	"130.06351"	"129.05571"	"358.0001277"	"3-Methyl-2-oxopentanoic acid (=ketoisoleucine)"	0.134
0.134	0.363	"310"	"drink3b"	"132.07916"	"131.07136"	"429.7055788"	"(+/-)-2-Hydroxyisocaproic acid"	0.134
0.134	0.37	"416"	"snack2"	"90.03221"	"89.02441"	"83.51363766"	"D-(-) Lactic acid"	0.134
0.134	0.363	"74"	"drink3b"	"132.07916"	"131.07136"	"429.7055788"	"2-Hydroxyhexanoic acid"	0.134
0.134	0.376	"92"	"snack8"	"230.15233"	"229.14453"	"564.955387"	"Dodecanedioic acid "	0.134
0.134	0.363	"100"	"snack7"	"140.05805"	"141.06585"	"73.49432451"	"Imidazolepropionic acid"	0.134
0.134	0.363	"1479"	"cereal2b"	"174.1363"	"175.1441"	"50.35325612"	"N6,N6-dimethyllysine"	0.134
0.133	0.378	"126"	"drink3b"	"150.05335"	"149.04555"	"56.89411073"	"D-(-)Arabinose"	0.133
-0.133	0.378	"2038"	"spread2"	"242.0908"	"241.083"	"252.6656206"	"Thymidine"	0.133
0.133	0.378	"62"	"drink3b"	"166.06352"	"165.05572"	"476.2005781"	"L-3-Phenyllactic acid"	0.133
-0.133	0.378	"1577"	"snack7"	"180.095235"	"179.087435"	"528.833169"	"Indole-3-acetic acid-d5"	0.133
-0.133	0.378	"1898"	"spread3"	"582.24731"	"583.25511"	"581.6761064"	"Biliverdin"	0.133
0.133	0.376	"1914"	"ME_week"	"227.09008"	"228.09788"	"83.02050197"	"Deoxycytidine"	0.133
0.133	0.376	"2068"	"drink6"	"226.09483"	"227.10263"	"271.3156643"	"5-Oxo-L-prolyl-L-proline"	0.133
0.133	0.378	"480"	"drink6"	"180.0642"	"181.072"	"316.6273398"	"Theophylline"	0.133
0.132	0.378	"129"	"snack7"	"180.06391"	"179.05611"	"52.28120432"	"D(+)-Galactose"	0.132
0.132	0.378	"1986"	"drink3b"	"177.04649"	"176.03869"	"306.3913562"	"N-Formyl-methionine"	0.132
-0.132	0.378	"76"	"potato1"	"134.02204"	"133.01424"	"64.70918125"	"Malic acid"	0.132
0.132	0.378	"89"	"snack8"	"188.10538"	"187.09758"	"524.5752462"	"Azelaic acid"	0.132
0.132	0.378	"90"	"ME_week"	"132.04278"	"131.03498"	"205.0839683"	"Glutaric acid"	0.132
0.132	0.378	"1524"	"cereal2b"	"188.11557"	"189.12337"	"199.9391229"	"Leucylglycine"	0.132
-0.132	0.378	"1758"	"spread2"	"74.08387"	"75.09167"	"43.01099843"	"1,3-Diaminopropane"	0.132
0.132	0.378	"183"	"drink3b"	"103.06281"	"104.07061"	"54.5863322"	"gamma-Aminobutyric acid (GABA)"	0.132
0.132	0.378	"185"	"Dark_cereals_week"	"219.11015"	"220.11795"	"275.8595489"	"D-pantothenic acid "	0.132
0.132	0.378	"1891"	"drink6"	"280.1054"	"281.1132"	"321.6456447"	"Asp-Phe"	0.132
0.132	0.378	"198"	"vegetable2"	"155.06895"	"156.07675"	"51.28610997"	"L-Histidine"	0.132
-0.132	0.378	"474"	"cereal3"	"180.0642"	"181.072"	"282.6409668"	"Theobromine"	0.132
-0.132	0.378	"474"	"yogh1"	"180.0642"	"181.072"	"282.6409668"	"Theobromine"	0.132
-0.132	0.378	"558"	"fish1"	"243.085"	"244.0928"	"75.00374209"	"Cytidine"	0.132
0.132	0.378	"562"	"cereal2b"	"59.07299"	"60.08079"	"52.75637905"	"Trimethylamine"	0.132
